Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,Supplier,Tier1,<5L,Monthly,"Glass, Flexible",ERP,"Cost, Supplier, Failures",High,Sustainability,Monthly,<5K,Medium,Premium,Sustainability,"Regulation, Supplier Issues, Cost Increase",<10K,5-10%,Medium,Owner,Sustainability,Not Sure,No
Owner,Cloud Kitchen,Tier3,<5L,Daily,"Paper, Glass, Plastic",ERP,"Supplier, Inventory, Failures",Medium,"Storage, Breakage, High Cost",Monthly,5K-20K,Medium,"Recyclable, Paper",Branding,"Complaints, Supplier Issues, Regulation",<10K,10-20%,High,Multiple,Forecasting,Unlikely,Maybe
Finance,Restaurant,Tier1,<5L,Monthly,"Biodegradable, Plastic",ERP,Inventory,Medium,"Wastage, Breakage, Storage",Weekly,5K-20K,High,Premium,Cost,"Supplier Issues, Cost Increase, Regulation",<10K,30%+,Medium,Operations,"Sustainability, Performance, Forecasting",Likely,No
Owner,Supplier,Tier3,5L-20L,Monthly,"Biodegradable, Paper, Flexible",Vendor,"Cost, Failures",Medium,"Sustainability, Storage, High Cost",Rare,<5K,Medium,Plastic,Sustainability,Cost Increase,10K-50K,10-20%,Medium,Multiple,"Performance, Supplier Analytics, Forecasting",Likely,No
Procurement,Restaurant,Tier1,5L-20L,Bulk,"Plastic, Biodegradable, Flexible",Experience,"Failures, Inventory, Cost",High,"Storage, Wastage, Breakage",Monthly,<5K,Medium,"Plastic, Biodegradable",Branding,"Regulation, Supplier Issues, Sustainability",50K-2L,10-20%,Low,Multiple,"Performance, Cost Dashboard",Likely,No
Owner,Restaurant,Tier1,<5L,Weekly,Paper,No Process,,Medium,Sustainability,Monthly,5K-20K,High,"Recyclable, Plastic",Branding,"Supplier Issues, Complaints",<10K,10-20%,Medium,Multiple,Forecasting,Likely,Maybe
Operations,FMCG,Tier1,5L-20L,Monthly,"Plastic, Biodegradable",Excel,Failures,Medium,"Sustainability, Supplier Issues, High Cost",Monthly,5K-20K,Low,"Premium, Recyclable, Biodegradable",Cost,"Supplier Issues, Cost Increase, Complaints",50K-2L,10-20%,High,Operations,"Performance, Sustainability, Cost Dashboard",Likely,Maybe
Owner,Cloud Kitchen,Tier2,1Cr+,Monthly,"Paper, Plastic",Excel,Failures,Medium,"Breakage, High Cost",Rare,<5K,High,"Plastic, Paper, Recyclable",Sustainability,Complaints,2L-10L,20-30%,High,Multiple,"Forecasting, Sustainability",Likely,Maybe
Finance,FMCG,Tier1,20L-1Cr,Daily,Plastic,ERP,"Failures, Supplier, Cost",High,Sustainability,Weekly,20K-1L,,"Premium, Biodegradable",Branding,"Regulation, Complaints, Cost Increase",50K-2L,20-30%,Low,Finance,"Sustainability, Performance, Forecasting",Very Likely,Yes
Operations,FMCG,Tier1,<5L,Daily,"Flexible, Paper, Biodegradable",Vendor,"Cost, Supplier, Inventory",High,"Storage, Supplier Issues, Wastage",Weekly,5K-20K,Low,Paper,Cost,Supplier Issues,<10K,5-10%,Low,Owner,"Sustainability, Supplier Analytics, Performance",Unlikely,Maybe
Procurement,Supplier,Tier3,20L-1Cr,Monthly,Biodegradable,Experience,"Cost, Failures",Medium,Sustainability,Weekly,5K-20K,High,Biodegradable,Sustainability,"Cost Increase, Sustainability, Regulation",2L-10L,5-10%,High,Owner,Sustainability,Very Likely,Yes
Procurement,Cloud Kitchen,Tier1,5L-20L,Bulk,"Glass, Biodegradable",ERP,"Inventory, Failures, Cost",High,"Wastage, Supplier Issues, Storage",Monthly,<5K,Medium,Premium,Sustainability,"Complaints, Sustainability, Cost Increase",50K-2L,5-10%,High,Owner,Forecasting,Likely,Maybe
Procurement,Restaurant,Tier1,20L-1Cr,Bulk,"Glass, Paper, Flexible",No Process,,Medium,"Sustainability, High Cost",Monthly,5K-20K,High,"Paper, Recyclable, Biodegradable",Branding,Regulation,2L-10L,10-20%,High,Multiple,Performance,Very Likely,Yes
Owner,FMCG,Tier1,5L-20L,Monthly,Flexible,No Process,,Medium,Storage,Weekly,5K-20K,Medium,Premium,Cost,"Supplier Issues, Sustainability",10K-50K,20-30%,Low,Operations,Sustainability,Not Sure,No
Operations,Restaurant,Tier3,<5L,Monthly,"Flexible, Plastic, Paper",ERP,"Cost, Supplier",High,Breakage,Weekly,5K-20K,Medium,"Biodegradable, Recyclable",Quality,"Cost Increase, Sustainability, Regulation",<10K,30%+,High,Finance,Forecasting,Not Sure,No
Operations,Cloud Kitchen,Tier3,<5L,Monthly,"Flexible, Paper, Biodegradable",ERP,Cost,Medium,"Wastage, Breakage, High Cost",Daily,1L+,Low,Biodegradable,Quality,"Complaints, Sustainability, Regulation",<10K,20-30%,Low,Finance,"Supplier Analytics, Forecasting, Sustainability",Likely,Maybe
Owner,Cloud Kitchen,Tier2,5L-20L,Monthly,"Glass, Flexible",Experience,"Cost, Failures, Inventory",High,"Supplier Issues, Storage, Wastage",Weekly,20K-1L,Medium,"Recyclable, Premium",Quality,Sustainability,10K-50K,10-20%,High,Owner,"Supplier Analytics, Forecasting, Sustainability",Likely,Yes
Procurement,FMCG,Tier2,20L-1Cr,Daily,Biodegradable,No Process,"Inventory, Supplier, Failures",Medium,"High Cost, Sustainability, Storage",Monthly,5K-20K,,"Premium, Biodegradable",Branding,"Regulation, Sustainability",50K-2L,10-20%,High,Multiple,"Performance, Forecasting",Unlikely,Maybe
Owner,Restaurant,Tier1,<5L,Weekly,"Flexible, Biodegradable, Plastic",Excel,"Inventory, Supplier, Cost",High,"Supplier Issues, Breakage",Weekly,5K-20K,High,"Premium, Plastic",Sustainability,"Sustainability, Cost Increase, Regulation",<10K,10-20%,High,Multiple,"Performance, Sustainability",Not Sure,No
Owner,FMCG,Tier2,<5L,Monthly,"Flexible, Paper, Biodegradable",Vendor,Failures,High,"Sustainability, Storage",Monthly,<5K,Medium,"Paper, Premium, Plastic",Branding,"Sustainability, Complaints, Regulation",<10K,10-20%,High,Operations,"Cost Dashboard, Performance",Likely,No
Operations,Manufacturer,Tier2,20L-1Cr,Daily,"Plastic, Biodegradable, Glass",No Process,Supplier,High,High Cost,Weekly,5K-20K,Low,"Recyclable, Premium",Quality,Cost Increase,2L-10L,30%+,High,Multiple,"Performance, Cost Dashboard",Very Likely,Yes
Finance,FMCG,Tier3,20L-1Cr,Monthly,Glass,No Process,"Cost, Supplier, Inventory",High,"Sustainability, Supplier Issues",Weekly,20K-1L,High,"Premium, Paper",Cost,"Supplier Issues, Sustainability, Regulation",50K-2L,5-10%,High,Operations,"Performance, Cost Dashboard, Forecasting",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,20L-1Cr,Monthly,"Flexible, Plastic, Biodegradable",ERP,,Low,Supplier Issues,Monthly,<5K,Medium,Biodegradable,Sustainability,Cost Increase,2L-10L,10-20%,High,Multiple,"Supplier Analytics, Sustainability, Cost Dashboard",Very Likely,Maybe
Owner,Restaurant,Tier3,<5L,Bulk,"Paper, Glass, Flexible",Excel,Failures,Medium,Sustainability,Monthly,<5K,Low,"Premium, Plastic",Quality,"Regulation, Supplier Issues, Sustainability",<10K,5-10%,Medium,Multiple,"Cost Dashboard, Supplier Analytics, Sustainability",Not Sure,No
Owner,Restaurant,Tier1,20L-1Cr,Monthly,"Paper, Glass",Excel,"Cost, Inventory",High,"High Cost, Breakage, Wastage",Monthly,<5K,Medium,Paper,Quality,"Sustainability, Complaints",2L-10L,20-30%,Medium,Multiple,"Performance, Sustainability",Likely,Maybe
Owner,Cloud Kitchen,Tier2,<5L,Weekly,"Glass, Plastic, Biodegradable",Experience,,Low,"Breakage, Supplier Issues",Rare,<5K,,"Recyclable, Biodegradable, Paper",Quality,"Cost Increase, Complaints",<10K,10-20%,High,Finance,"Supplier Analytics, Forecasting",Likely,No
Owner,Manufacturer,Tier2,5L-20L,Bulk,Biodegradable,ERP,Cost,High,Breakage,Monthly,<5K,High,"Recyclable, Biodegradable, Premium",Branding,"Complaints, Sustainability",10K-50K,5-10%,Low,Owner,"Sustainability, Forecasting",Not Sure,Maybe
Owner,Supplier,Tier1,<5L,Weekly,"Flexible, Glass",Vendor,"Cost, Inventory, Supplier",Medium,"Storage, Supplier Issues, Sustainability",Daily,20K-1L,,"Premium, Biodegradable, Recyclable",Sustainability,Supplier Issues,<10K,20-30%,Low,Finance,"Sustainability, Cost Dashboard",Very Likely,Yes
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,"Biodegradable, Flexible",Experience,Inventory,High,Sustainability,Monthly,<5K,High,Premium,Cost,"Supplier Issues, Sustainability, Complaints",50K-2L,20-30%,High,Owner,Cost Dashboard,Likely,Maybe
Owner,Restaurant,Tier2,5L-20L,Daily,Plastic,Excel,Failures,Medium,"Storage, Breakage, Wastage",Rare,<5K,Low,"Plastic, Paper",Branding,"Complaints, Supplier Issues",50K-2L,10-20%,Low,Finance,"Supplier Analytics, Forecasting",Likely,Maybe
Procurement,FMCG,Tier1,5L-20L,Daily,"Glass, Paper",ERP,Supplier,Medium,"Breakage, Supplier Issues",Weekly,5K-20K,Medium,"Paper, Recyclable",Quality,Cost Increase,10K-50K,20-30%,High,Owner,"Performance, Sustainability",Not Sure,Maybe
Operations,FMCG,Tier1,<5L,Daily,"Biodegradable, Plastic",No Process,"Supplier, Failures",High,"High Cost, Wastage",Weekly,5K-20K,High,"Plastic, Biodegradable",Branding,"Complaints, Cost Increase",<10K,5-10%,Medium,Owner,Performance,Not Sure,Maybe
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,Paper,No Process,,Medium,Wastage,Rare,5K-20K,Low,Premium,Sustainability,"Sustainability, Supplier Issues",50K-2L,10-20%,High,Multiple,"Cost Dashboard, Supplier Analytics, Performance",Likely,No
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,Flexible,ERP,Supplier,Medium,"Storage, Sustainability",Daily,20K-1L,Medium,"Biodegradable, Paper",Quality,Supplier Issues,2L-10L,10-20%,Medium,Operations,Supplier Analytics,Very Likely,Yes
Operations,Manufacturer,Tier2,<5L,Monthly,Paper,ERP,"Failures, Cost",Medium,"Supplier Issues, Breakage, Wastage",Daily,20K-1L,Medium,"Premium, Plastic",Branding,Supplier Issues,<10K,10-20%,High,Finance,"Forecasting, Performance, Sustainability",Very Likely,Yes
Owner,Supplier,Tier1,5L-20L,Daily,"Flexible, Paper, Biodegradable",Excel,"Failures, Cost",High,"Wastage, Supplier Issues",Weekly,5K-20K,Medium,"Plastic, Biodegradable, Paper",Quality,"Regulation, Sustainability, Supplier Issues",50K-2L,10-20%,Medium,Finance,"Supplier Analytics, Forecasting, Performance",Not Sure,No
Finance,Restaurant,Tier1,5L-20L,Weekly,Flexible,Excel,"Inventory, Supplier, Failures",High,"High Cost, Wastage",Daily,20K-1L,Medium,"Paper, Biodegradable",Sustainability,"Supplier Issues, Sustainability, Cost Increase",10K-50K,30%+,Low,Owner,"Forecasting, Sustainability, Cost Dashboard",Very Likely,Yes
Procurement,Restaurant,Tier1,<5L,Daily,"Glass, Flexible, Paper",Experience,"Failures, Cost",Medium,"Breakage, High Cost",Weekly,5K-20K,High,"Recyclable, Plastic, Premium",Sustainability,Complaints,<10K,5-10%,High,Multiple,"Sustainability, Cost Dashboard",Unlikely,No
Operations,FMCG,Tier2,5L-20L,Monthly,Glass,Excel,Failures,Medium,Breakage,Rare,<5K,Medium,"Biodegradable, Recyclable",Quality,"Supplier Issues, Cost Increase, Regulation",10K-50K,10-20%,Low,Multiple,Supplier Analytics,Not Sure,No
Procurement,FMCG,Tier1,1Cr+,Bulk,Flexible,Experience,"Supplier, Inventory, Cost",High,"Sustainability, Supplier Issues, Breakage",Weekly,5K-20K,Low,"Premium, Biodegradable, Plastic",Sustainability,"Sustainability, Supplier Issues",10L+,10-20%,Medium,Finance,"Sustainability, Cost Dashboard, Supplier Analytics",Likely,Maybe
Owner,Cloud Kitchen,Tier2,5L-20L,Daily,"Flexible, Biodegradable, Paper",Vendor,Inventory,Medium,Wastage,Weekly,5K-20K,Low,Premium,Branding,"Supplier Issues, Cost Increase, Regulation",10K-50K,10-20%,Low,Finance,"Cost Dashboard, Forecasting, Supplier Analytics",Likely,No
Procurement,Restaurant,Tier1,1Cr+,Bulk,"Paper, Biodegradable, Flexible",Experience,Supplier,Medium,Wastage,Daily,20K-1L,Medium,Paper,Branding,"Complaints, Regulation",2L-10L,5-10%,High,Multiple,"Cost Dashboard, Performance, Supplier Analytics",Very Likely,Yes
Owner,Restaurant,Tier1,1Cr+,Bulk,Glass,Excel,Inventory,Medium,Wastage,Daily,20K-1L,Medium,Biodegradable,Quality,"Sustainability, Regulation",2L-10L,5-10%,High,Finance,Supplier Analytics,Very Likely,Yes
Operations,Restaurant,Tier3,<5L,Daily,"Plastic, Glass, Paper",Excel,Failures,High,"Supplier Issues, Breakage",Rare,<5K,Medium,"Biodegradable, Plastic",Branding,"Complaints, Sustainability",<10K,5-10%,Low,Owner,"Supplier Analytics, Performance",Not Sure,No
Finance,Cloud Kitchen,Tier2,<5L,Daily,Paper,Vendor,Supplier,Medium,Sustainability,Daily,1L+,High,"Plastic, Recyclable, Biodegradable",Cost,"Complaints, Supplier Issues, Cost Increase",<10K,10-20%,High,Multiple,Cost Dashboard,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,5L-20L,Weekly,"Biodegradable, Plastic",Excel,"Failures, Supplier",Medium,"Storage, Supplier Issues",Rare,<5K,High,"Biodegradable, Plastic, Recyclable",Cost,Cost Increase,10K-50K,10-20%,Medium,Operations,Cost Dashboard,Not Sure,Maybe
Operations,Cloud Kitchen,Tier2,<5L,Weekly,"Plastic, Paper",No Process,Cost,Medium,"Breakage, Supplier Issues",Monthly,<5K,,"Premium, Plastic",Branding,"Complaints, Supplier Issues",<10K,30%+,High,Finance,Performance,Unlikely,No
Owner,Cloud Kitchen,Tier1,5L-20L,Bulk,Biodegradable,ERP,Cost,Medium,Supplier Issues,Daily,20K-1L,Medium,"Plastic, Paper, Biodegradable",Sustainability,Supplier Issues,10K-50K,10-20%,Medium,Operations,"Cost Dashboard, Performance",Likely,Maybe
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,Biodegradable,Excel,,Medium,Storage,Weekly,20K-1L,Medium,Biodegradable,Sustainability,Supplier Issues,10K-50K,20-30%,Low,Operations,Cost Dashboard,Likely,No
Procurement,Cloud Kitchen,Tier2,<5L,Bulk,"Glass, Biodegradable",ERP,"Inventory, Failures, Supplier",Medium,"Sustainability, Storage, Wastage",Daily,20K-1L,,Paper,Cost,"Cost Increase, Complaints",<10K,10-20%,High,Owner,"Cost Dashboard, Sustainability",Very Likely,Yes
Owner,Supplier,Tier1,<5L,Weekly,"Plastic, Glass, Paper",Experience,"Failures, Supplier, Inventory",Medium,"Wastage, Breakage, High Cost",Monthly,<5K,High,"Recyclable, Premium",Sustainability,"Cost Increase, Complaints, Supplier Issues",<10K,10-20%,High,Operations,"Sustainability, Forecasting",Not Sure,Maybe
Owner,Restaurant,Tier1,1Cr+,Daily,"Plastic, Biodegradable, Paper",ERP,"Supplier, Cost",High,"Sustainability, High Cost",Monthly,<5K,Medium,"Premium, Paper, Biodegradable",Quality,"Sustainability, Regulation, Complaints",2L-10L,5-10%,High,Owner,"Sustainability, Cost Dashboard",Likely,No
Owner,Restaurant,Tier3,5L-20L,Monthly,Glass,Vendor,"Inventory, Supplier",Medium,Storage,Daily,1L+,High,"Premium, Plastic",Cost,"Cost Increase, Sustainability",10K-50K,20-30%,Medium,Multiple,"Cost Dashboard, Performance, Supplier Analytics",Very Likely,Yes
Owner,Supplier,Tier2,<5L,Bulk,"Flexible, Paper, Glass",ERP,,Low,Supplier Issues,Weekly,20K-1L,Medium,"Biodegradable, Premium",Quality,"Supplier Issues, Cost Increase",<10K,<5%,High,Finance,"Cost Dashboard, Sustainability, Supplier Analytics",Very Likely,Yes
Operations,Cloud Kitchen,Tier3,5L-20L,Monthly,Plastic,ERP,Failures,High,"Breakage, Supplier Issues",Weekly,20K-1L,Low,"Plastic, Biodegradable",Quality,"Cost Increase, Sustainability",50K-2L,<5%,High,Operations,"Cost Dashboard, Performance",Very Likely,Yes
Finance,Manufacturer,Tier3,<5L,Monthly,"Flexible, Biodegradable",Vendor,"Inventory, Cost",High,"Wastage, High Cost",Monthly,<5K,Low,"Paper, Plastic, Biodegradable",Quality,Sustainability,<10K,20-30%,High,Owner,"Performance, Sustainability",Likely,Maybe
Owner,Restaurant,Tier1,5L-20L,Monthly,Glass,Excel,"Failures, Inventory, Cost",High,"Breakage, Storage, Supplier Issues",Daily,1L+,High,"Premium, Recyclable",Quality,"Complaints, Supplier Issues, Sustainability",10K-50K,5-10%,Low,Finance,"Performance, Forecasting",Very Likely,Yes
Operations,FMCG,Tier2,5L-20L,Bulk,"Biodegradable, Paper",Experience,,Low,Sustainability,Rare,<5K,Low,"Biodegradable, Premium",Sustainability,Sustainability,10K-50K,20-30%,High,Multiple,Supplier Analytics,Unlikely,No
Operations,Cloud Kitchen,Tier1,<5L,Weekly,Flexible,ERP,"Failures, Inventory",High,"Breakage, Supplier Issues",Weekly,20K-1L,Medium,Plastic,Cost,Sustainability,<10K,5-10%,High,Owner,Supplier Analytics,Likely,Maybe
Operations,Restaurant,Tier2,5L-20L,Daily,"Glass, Flexible",Experience,"Supplier, Failures, Cost",Medium,Wastage,Weekly,20K-1L,Medium,"Plastic, Recyclable",Branding,"Cost Increase, Complaints",50K-2L,10-20%,High,Finance,"Sustainability, Supplier Analytics",Very Likely,Yes
Owner,Supplier,Tier3,<5L,Daily,Flexible,Experience,"Failures, Supplier, Cost",High,"Storage, Supplier Issues",Daily,20K-1L,Medium,Recyclable,Sustainability,"Complaints, Regulation, Supplier Issues",<10K,5-10%,Low,Multiple,Performance,Very Likely,Yes
Finance,Cloud Kitchen,Tier2,20L-1Cr,Monthly,Biodegradable,Vendor,Cost,Medium,"Supplier Issues, Storage, High Cost",Weekly,20K-1L,,"Biodegradable, Plastic, Recyclable",Quality,Complaints,2L-10L,20-30%,Medium,Finance,"Performance, Sustainability",Likely,Maybe
Operations,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Plastic, Biodegradable",No Process,"Cost, Failures",High,Breakage,Weekly,5K-20K,Medium,"Plastic, Biodegradable",Branding,"Cost Increase, Complaints, Sustainability",50K-2L,10-20%,High,Operations,"Supplier Analytics, Cost Dashboard",Not Sure,No
Operations,FMCG,Tier2,1Cr+,Daily,"Flexible, Glass, Plastic",Excel,"Inventory, Supplier",High,"Wastage, Breakage, High Cost",Monthly,<5K,Medium,"Recyclable, Biodegradable",Quality,"Regulation, Sustainability, Cost Increase",10L+,30%+,Medium,Finance,"Cost Dashboard, Performance, Sustainability",Very Likely,Yes
Operations,FMCG,Tier1,<5L,Daily,"Plastic, Biodegradable, Paper",Excel,,Low,Wastage,Monthly,<5K,Medium,"Paper, Premium, Biodegradable",Branding,"Cost Increase, Sustainability, Complaints",<10K,5-10%,High,Finance,"Cost Dashboard, Supplier Analytics, Performance",Not Sure,No
Owner,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Biodegradable, Glass, Paper",ERP,"Cost, Supplier",High,Storage,Weekly,5K-20K,,"Recyclable, Premium",Sustainability,"Cost Increase, Complaints, Sustainability",50K-2L,10-20%,Medium,Finance,Performance,Not Sure,Maybe
Owner,Cloud Kitchen,Tier2,5L-20L,Bulk,Glass,Vendor,"Failures, Inventory, Supplier",High,"Breakage, Supplier Issues",Monthly,5K-20K,High,Biodegradable,Quality,Regulation,10K-50K,<5%,Medium,Multiple,Cost Dashboard,Likely,No
Owner,FMCG,Tier1,20L-1Cr,Daily,"Flexible, Paper",Vendor,,Low,"High Cost, Storage, Supplier Issues",Weekly,5K-20K,Medium,"Premium, Recyclable, Paper",Quality,Regulation,2L-10L,5-10%,High,Owner,"Performance, Forecasting, Sustainability",Likely,Maybe
Owner,Restaurant,Tier1,20L-1Cr,Bulk,"Paper, Biodegradable, Plastic",Excel,,Medium,Supplier Issues,Monthly,<5K,High,"Recyclable, Biodegradable, Paper",Branding,"Complaints, Regulation",2L-10L,10-20%,Low,Owner,"Cost Dashboard, Performance, Supplier Analytics",Likely,Maybe
Operations,Cloud Kitchen,Tier2,5L-20L,Bulk,"Flexible, Paper, Biodegradable",Experience,Cost,High,"Breakage, Storage, High Cost",Weekly,20K-1L,Medium,"Biodegradable, Recyclable",Branding,Supplier Issues,50K-2L,5-10%,High,Multiple,"Sustainability, Performance, Cost Dashboard",Likely,Yes
Owner,Manufacturer,Tier2,20L-1Cr,Daily,"Biodegradable, Plastic",Vendor,,Low,"Supplier Issues, Storage, Breakage",Weekly,5K-20K,Medium,"Premium, Plastic, Paper",Quality,"Complaints, Supplier Issues, Regulation",50K-2L,5-10%,Low,Finance,"Performance, Sustainability",Not Sure,Maybe
Operations,FMCG,Tier1,20L-1Cr,Weekly,Paper,Vendor,"Supplier, Cost, Failures",High,"Supplier Issues, High Cost",Weekly,20K-1L,High,Paper,Quality,Supplier Issues,50K-2L,<5%,High,Owner,"Cost Dashboard, Forecasting, Supplier Analytics",Very Likely,Yes
Owner,Supplier,Tier2,<5L,Weekly,Biodegradable,ERP,"Inventory, Failures, Supplier",Medium,"Storage, Sustainability",Daily,20K-1L,Low,"Premium, Biodegradable, Paper",Branding,"Complaints, Sustainability",<10K,5-10%,Low,Owner,"Supplier Analytics, Sustainability",Likely,Maybe
Procurement,Supplier,Tier1,<5L,Monthly,Paper,Experience,Cost,Medium,"Wastage, Sustainability, Storage",Monthly,<5K,Low,"Plastic, Biodegradable, Premium",Branding,Supplier Issues,<10K,20-30%,High,Finance,Performance,Unlikely,Maybe
Procurement,Restaurant,Tier3,20L-1Cr,Daily,"Glass, Paper, Plastic",Excel,,Low,High Cost,Weekly,5K-20K,Low,Recyclable,Branding,"Supplier Issues, Regulation",50K-2L,5-10%,Medium,Multiple,"Sustainability, Forecasting",Likely,No
Procurement,Manufacturer,Tier1,1Cr+,Bulk,"Paper, Glass, Plastic",Excel,Inventory,Medium,"High Cost, Storage, Supplier Issues",Rare,<5K,High,"Paper, Recyclable, Biodegradable",Sustainability,Regulation,10L+,30%+,Medium,Owner,"Supplier Analytics, Performance, Cost Dashboard",Likely,Maybe
Owner,FMCG,Tier3,<5L,Bulk,"Plastic, Glass",Excel,"Cost, Supplier, Inventory",Medium,"Breakage, Storage",Weekly,20K-1L,Low,Plastic,Quality,"Sustainability, Supplier Issues",<10K,10-20%,Low,Owner,"Sustainability, Cost Dashboard, Supplier Analytics",Very Likely,Maybe
Owner,Manufacturer,Tier2,1Cr+,Monthly,"Glass, Flexible, Paper",Excel,Cost,Medium,"Wastage, Storage",Weekly,20K-1L,,"Paper, Plastic, Biodegradable",Branding,Cost Increase,10L+,20-30%,High,Owner,"Forecasting, Supplier Analytics",Very Likely,Yes
